Retail Sku,External ID,Sku Suffix,Retailskusuffix,Online Sku Suffix,Barcode,Alias
,UF1574,158-4,UF96695-0004,UF96695-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF1574,158-5,UF96695-0005,UF96695-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF1574,158-6,UF96695-0006,UF96695-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF1565,166728-1,UF97680-0001,UF97680-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF1565,166728-2,UF97680-0002,UF97680-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF1565,166728-3,UF97680-0003,UF97680-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF1565,166728-4,UF97680-0004,UF97680-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF1565,166728-5,UF97680-0005,UF97680-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF1565,166728-6,UF97680-0006,UF97680-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2399-1,UF39430-0001,UF39430-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2399-2,UF39430-0002,UF39430-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2399-3,UF39430-0003,UF39430-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2399-4,UF39430-0004,UF39430-0004,6.13902E+11,AllowBackorders12-14BD
,UF3943,2399-5,UF39430-0005,UF39430-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2399-6,UF39430-0006,UF39430-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,300-1,UF3128-0001,UF3128-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,300-2,UF3128-0002,UF3128-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,300-3,UF3128-0003,UF3128-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,300-4,UF3128-0004,UF3128-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,300-5,UF3128-0005,UF3128-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,300-6,UF3128-0006,UF3128-0006,6.13903E+11,HideVariantWhenOutOfStock
,UF3943,126-1,UF3856-0001,UF3856-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,126-2,UF3856-0002,UF3856-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,126-3,UF3856-0003,UF3856-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,126-4,UF3856-0004,UF3856-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,126-5,UF3856-0005,UF3856-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,126-6,UF3856-0006,UF3856-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2416-1,UF3943-0001,UF3943-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2416-2,UF3943-0002,UF3943-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2416-3,UF3943-0003,UF3943-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2416-4,UF3943-0004,UF3943-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF3943,2416-5,UF3943-0005,UF3943-0005,6.13903E+11,HideVariantWhenOutOfStock
,UF3943,2416-6,UF3943-0006,UF3943-0006,6.13903E+11,HideVariantWhenOutOfStock
,UF20570,143-1,UF20570-0001,UF20570-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF20570,143-2,UF20570-0002,UF20570-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF20570,143-3,UF20570-0003,UF20570-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF20570,143-4,UF20570-0004,UF20570-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF20570,143-5,UF20570-0005,UF20570-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF20570,143-6,UF20570-0006,UF20570-0006,6.13902E+11,HideVariantWhenOutOfStock
,,2416-1,UF11340-0001,UF11340-0001,6.13902E+11,HideVariantWhenOutOfStock
,,2416-2,UF11340-0002,UF11340-0002,6.13902E+11,HideVariantWhenOutOfStock
,,2416-3,UF11340-0003,UF11340-0003,6.13902E+11,HideVariantWhenOutOfStock
,,2416-4,UF11340-0004,UF11340-0004,6.13902E+11,HideVariantWhenOutOfStock
,,2416-5,UF11340-0005,UF11340-0005,6.13902E+11,HideVariantWhenOutOfStock
,,2416-6,UF11340-0006,UF11340-0006,6.13902E+11,HideVariantWhenOutOfStock
,,300-1,UF11345-0001,UF11345-0001,6.13902E+11,HideVariantWhenOutOfStock
,,300-2,UF11345-0002,UF11345-0002,6.13902E+11,HideVariantWhenOutOfStock
,,300-3,UF11345-0003,UF11345-0003,6.13902E+11,HideVariantWhenOutOfStock
,,300-4,UF11345-0004,UF11345-0004,6.13902E+11,HideVariantWhenOutOfStock
,,300-5,UF11345-0005,UF11345-0005,6.13902E+11,HideVariantWhenOutOfStock
,,300-6,UF11345-0006,UF11345-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,300-1,UF18130-0001,UF18130-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,300-2,UF18130-0002,UF18130-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,300-3,UF18130-0003,UF18130-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,300-4,UF18130-0004,UF18130-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,300-5,UF18130-0005,UF18130-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,300-6,UF18130-0006,UF18130-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,2416-1,UF18135-0001,UF18135-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,2416-2,UF18135-0002,UF18135-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,2416-3,UF18135-0003,UF18135-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,2416-4,UF18135-0004,UF18135-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,2416-5,UF18135-0005,UF18135-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF18130,2416-6,UF18135-0006,UF18135-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,2416-1,UF11350-0001,UF11350-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,2416-2,UF11350-0002,UF11350-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,2416-3,UF11350-0003,UF11350-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,2416-4,UF11350-0004,UF11350-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,2416-5,UF11350-0005,UF11350-0005,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,2416-6,UF11350-0006,UF11350-0006,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,300-1,UF11355-0001,UF11355-0001,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,300-2,UF11355-0002,UF11355-0002,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,300-3,UF11355-0003,UF11355-0003,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,300-4,UF11355-0004,UF11355-0004,6.13902E+11,HideVariantWhenOutOfStock
,UF11355,300-5,UF11355-0005,UF11355-0005,6.13902E+11,HideVariantWhenOutOfStock
